IDX	RADIUS	AZIMUTH	POLAR	ZROT	YROT	XROT		XTRN	YTRN	ZTRN		Location
70	3010.648	0.000	83.426	-90.000	0.000	90.000		2990.849	0.000	344.704		M32A	SHORT DETECTOR
71	3005.333	0.000	95.627	-90.000	0.000	90.000		2990.851	0.000	-294.679		M32B	SHORT DETECTOR
72	2990.850	-4.212	90.000	-94.212	0.000	90.000		2982.772	-219.669	0.000		M33	
73	2990.850	-8.424	90.000	-98.424	0.000	90.000		2958.582	-438.152	0.000		M34	
74	2990.850	-13.522	90.000	-103.522	0.000	90.000		2907.944	-699.317	0.000		M35	
75	2990.850	-17.734	90.000	-107.734	0.000	90.000		2848.727	-911.008	0.000		M36	
76	2990.850	-21.946	90.000	-111.946	0.000	90.000		2774.123	-1117.778	0.000		M37	
77	2990.850	-26.158	90.000	-116.158	0.000	90.000		2684.532	-1318.510	0.000		M38	
78	3302.533	133.176	108.555	43.176	0.000	90.000		-2142.267	2283.198	-1050.915		B1	
79	3302.533	129.152	108.555	39.152	0.000	90.000		-1976.764	2427.902	-1050.915		B2	
80	3302.533	125.128	108.555	35.128	0.000	90.000		-1801.514	2560.634	-1050.915		B3	
81	3302.533	121.104	108.555	31.104	0.000	90.000		-1617.382	2680.742	-1050.915		B4
82	3302.533	117.080	108.555	27.080	0.000	90.000		-1425.276	2787.632	-1050.915		B5
83	3302.533	113.056	108.555	23.056	0.000	90.000		-1226.142	2880.777	-1050.915		B6
84	3302.533	109.032	108.555	19.032	0.000	90.000		-1020.962	2959.719	-1050.915		B7
85	3302.533	103.558	108.555	13.558	0.000	90.000		-733.967	3043.615	-1050.915		B8
86	3302.533	99.534	108.555	9.534	0.000	90.000		-518.574	3087.618	-1050.915		B9
87	3302.533	95.510	108.555	5.510	0.000	90.000		-300.624	3116.397	-1050.915		B10
88	3302.533	91.486	108.555	1.486	0.000	90.000		-81.192	3129.810	-1050.915		B11
89	3302.533	87.462	108.555	-2.538	0.000	90.000		138.641	3127.792	-1050.915		B12
90	3302.533	83.438	108.555	-6.562	0.000	90.000		357.790	3110.352	-1050.915		B13
91	3302.533	79.414	108.555	-10.586	0.000	90.000		575.174	3077.576	-1050.915		B14
92	3302.533	72.436	108.555	-17.564	0.000	90.000		944.803	2984.903	-1050.915		B15
93	3302.533	68.412	108.555	-21.588	0.000	90.000		1151.938	2911.244	-1050.915		B16
94	3302.533	64.388	108.555	-25.612	0.000	90.000		1353.393	2823.231	-1050.915		B17
95	3302.533	60.364	108.555	-29.636	0.000	90.000		1548.174	2721.297	-1050.915		B18
96	3302.533	56.340	108.555	-33.660	0.000	90.000		1735.323	2605.946	-1050.915		B19
97	3302.533	52.316	108.555	-37.684	0.000	90.000		1913.915	2477.747	-1050.915		B20
98	3302.533	48.292	108.555	-41.708	0.000	90.000		2083.071	2337.331	-1050.915		B21
99	3302.533	42.818	108.555	-47.182	0.000	90.000		2296.539	2127.959	-1050.915		B22
100	3302.533	38.794	108.555	-51.206	0.000	90.000		2440.206	1961.555	-1050.915		B23
101	3302.533	34.770	108.555	-55.230	0.000	90.000		2571.841	1785.480	-1050.915		B24
102	3302.533	30.746	108.555	-59.254	0.000	90.000		2690.795	1600.601	-1050.915		B25
103	3302.533	26.722	108.555	-63.278	0.000	90.000		2796.483	1407.830	-1050.915		B26
104	3302.533	22.698	108.555	-67.302	0.000	90.000		2888.382	1208.118	-1050.915		B27
105	3302.533	16.096	108.555	-73.904	0.000	90.000		3008.128	868.024	-1050.915		B28
106	3302.533	12.072	108.555	-77.928	0.000	90.000		3061.626	654.791	-1050.915		B29
107	3302.533	8.048	108.555	-81.952	0.000	90.000		3100.027	438.329	-1050.915		B30
108	3302.533	4.024	108.555	-85.976	0.000	90.000		3123.144	219.706	-1050.915		B31
109	3302.533	0.000	108.555	-90.000	0.000	90.000		3130.863	0.000	-1050.915		B32
110	3302.533	-4.024	108.555	-94.024	0.000	90.000		3123.144	-219.706	-1050.915		B33
111	3302.533	-8.048	108.555	-98.048	0.000	90.000		3100.027	-438.329	-1050.915		B34
112	3302.533	-13.888	108.555	-103.888	0.000	90.000		3039.338	-751.485	-1050.915		B35
113	3302.533	-17.912	108.555	-107.912	0.000	90.000		2979.110	-962.915	-1050.915		B36
114	3302.533	-21.936	108.555	-111.936	0.000	90.000		2904.194	-1169.599	-1050.915		B37
115	3302.533	-25.960	108.555	-115.960	0.000	90.000		2814.958	-1370.515	-1050.915		B38
												
"@Mar 21, 2005: Initial distribution"												
"@May 5, 2005: This rev includes a rotation shift of 2.1 deg of the bottom row different from the top row.(ref.-full array drop of 50mm)"												
"@May 17, 2005: Adjusted AZIMUTH's on the full array to accommodate the use of .25 thk vertical baffles."												
"@Aug 25, 2005: Modifed Short detector locations for the additional .191 in added to each in height.'DEFINITIONS & SPECS'!A43dd"												
"@Apr 19, 2006: Modifed full table to provide a cylindrcal array instead of a spherical one."												
												
												
