LPSD pixel # (0-127)	LPSD pitch (mm)	Tube # (1-8)	Tube  pitch	Xoffset	Yoffset	Zoffset	Module #	Pixel ID		IDX	RADIUS	AZIMUTH	POLAR	ZROT	YROT	XROT		XTRN	YTRN	ZTRN		Location		ARCS Module No.			cz	sz	cy	sy	cx	sx	R11	R12	R13	R21	R22	R23	R31	R32	R33	Xoffset	Yoffset	Zoffset	Location	X_pixel	Y_pixel	Z_pixel				Xsci	Ysci	Zsci	Radius	Phi_sci	2Theta_sci	Zrot_sci	Yrot_sci	Xrot_sci
0	7.86	1	27.4	-95.9	499.11	0	91	92160		14	3301.086	79.414	71.520	-10.586	0.000	90.000		575.175	3077.577	1046.357		T14		91			0.983	-0.184	1.000	0.000	0.000	1.000	0.983	0.000	-0.184	-0.184	0.000	-0.983	0.000	1.000	0.000	480.9067629	3095.194824	1545.467145	T14	3095.194824	1495.467145	480.9067629				3095.195	1495.467	480.907	3471.011999	25.788	82.036	0.000	-100.586	0.000
0	7.86	1	27.4	-95.9	499.11	0	92	93184		15	3301.086	72.436	71.520	-17.564	0.000	90.000		944.804	2984.904	1046.357		T15		92			0.953	-0.302	1.000	0.000	0.000	1.000	0.953	0.000	-0.302	-0.302	0.000	-0.953	0.000	1.000	0.000	853.3743478	3013.843814	1545.467145	T15	3013.843814	1495.467145	853.3743478				3013.844	1495.467	853.374	3471.011999	26.391	75.767	0.000	-107.564	0.000
0	7.86	1	27.4	-95.9	499.11	0	93	94208		16	3301.086	68.412	71.520	-21.588	0.000	90.000		1151.938	2911.244	1046.357		T16		93			0.930	-0.368	1.000	0.000	0.000	1.000	0.930	0.000	-0.368	-0.368	0.000	-0.930	0.000	1.000	0.000	1062.76502	2946.528945	1545.467145	T16	2946.528945	1495.467145	1062.76502				2946.529	1495.467	1062.765	3471.011999	26.909	72.171	0.000	-111.588	0.000
0	7.86	1	27.4	-95.9	499.11	0	94	95232		17	3301.086	64.388	71.520	-25.612	0.000	90.000		1353.393	2823.231	1046.357		T17		94			0.902	-0.432	1.000	0.000	0.000	1.000	0.902	0.000	-0.432	-0.432	0.000	-0.902	0.000	1.000	0.000	1266.915715	2864.686176	1545.467145	T17	2864.686176	1495.467145	1266.915715				2864.686	1495.467	1266.916	3471.011999	27.566	68.592	0.000	-115.612	0.000
0	7.86	1	27.4	-95.9	499.11	0	95	96256		18	3301.086	60.364	71.520	-29.636	0.000	90.000		1548.175	2721.298	1046.357		T18		95			0.869	-0.494	1.000	0.000	0.000	1.000	0.869	0.000	-0.494	-0.494	0.000	-0.869	0.000	1.000	0.000	1464.819865	2768.719032	1545.467145	T18	2768.719032	1495.467145	1464.819865				2768.719	1495.467	1464.820	3471.011999	28.375	65.038	0.000	-119.636	0.000
0	7.86	1	27.4	-95.9	499.11	0	96	97280		19	3301.086	56.340	71.520	-33.660	0.000	90.000		1735.323	2605.947	1046.357		T19		96			0.832	-0.554	1.000	0.000	0.000	1.000	0.832	0.000	-0.554	-0.554	0.000	-0.832	0.000	1.000	0.000	1655.5017	2659.100682	1545.467145	T19	2659.100682	1495.467145	1655.5017				2659.101	1495.467	1655.502	3471.011999	29.353	61.514	0.000	-123.660	0.000
0	7.86	1	27.4	-95.9	499.11	0	97	98304		20	3301.086	52.316	71.520	-37.684	0.000	90.000		1913.916	2477.747	1046.357		T20		97			0.791	-0.611	1.000	0.000	0.000	1.000	0.791	0.000	-0.611	-0.611	0.000	-0.791	0.000	1.000	0.000	1838.021062	2536.371599	1545.467145	T20	2536.371599	1495.467145	1838.021062				2536.372	1495.467	1838.021	3471.011999	30.524	58.026	0.000	-127.684	0.000
0	7.86	1	27.4	-95.9	499.11	0	98	99328		21	3301.086	48.292	71.520	-41.708	0.000	90.000		2083.072	2337.331	1046.357		T21		98			0.747	-0.665	1.000	0.000	0.000	1.000	0.747	0.000	-0.665	-0.665	0.000	-0.747	0.000	1.000	0.000	2011.478037	2401.136902	1545.467145	T21	2401.136902	1495.467145	2011.478037				2401.137	1495.467	2011.478	3471.011999	31.915	54.584	0.000	-131.708	0.000
0	7.86	1	27.4	-95.9	499.11	0	99	100352		22	3301.086	42.818	71.520	-47.182	0.000	90.000		2296.540	2127.959	1046.357		T22		99			0.680	-0.734	1.000	0.000	0.000	1.000	0.680	0.000	-0.734	-0.734	0.000	-0.680	0.000	1.000	0.000	2231.359035	2198.303703	1545.467145	T22	2198.303703	1495.467145	2231.359035				2198.304	1495.467	2231.359	3471.011999	34.227	49.995	0.000	-137.182	0.000
0	7.86	1	27.4	-95.9	499.11	0	100	101376		23	3301.086	38.794	71.520	-51.206	0.000	90.000		2440.206	1961.555	1046.357		T23		100			0.627	-0.779	1.000	0.000	0.000	1.000	0.627	0.000	-0.779	-0.779	0.000	-0.627	0.000	1.000	0.000	2380.122643	2036.300203	1545.467145	T23	2036.300203	1495.467145	2380.122643				2036.300	1495.467	2380.123	3471.011999	36.294	46.708	0.000	-141.206	0.000
0	7.86	1	27.4	-95.9	499.11	0	101	102400		24	3301.086	34.770	71.520	-55.230	0.000	90.000		2571.841	1785.480	1046.357		T24		101			0.570	-0.821	1.000	0.000	0.000	1.000	0.570	0.000	-0.821	-0.821	0.000	-0.570	0.000	1.000	0.000	2517.151025	1864.256697	1545.467145	T24	1864.256697	1495.467145	2517.151025				1864.257	1495.467	2517.151	3471.011999	38.736	43.515	0.000	-145.230	0.000
0	7.86	1	27.4	-95.9	499.11	0	102	103424		25	3301.086	30.746	71.520	-59.254	0.000	90.000		2690.796	1600.601	1046.357		T25		102			0.511	-0.859	1.000	0.000	0.000	1.000	0.511	0.000	-0.859	-0.859	0.000	-0.511	0.000	1.000	0.000	2641.768559	1683.021448	1545.467145	T25	1683.021448	1495.467145	2641.768559				1683.021	1495.467	2641.769	3471.011999	41.623	40.439	0.000	-149.254	0.000
